Id   |Name                         |!|Country                                   |Sponsor                                                              |Host                                                    |Distance  |Latency
7175 |Krakow                       |+|Poland                                    |Orange Polska S.A.                                                   |kra-o1.speedtest.orange.pl:8080                         |300126.8  |0
8123 |Krakow                       |+|Poland                                    |S-Net Sp. z o.o.                                                     |speedtest.s-net.pl:8080                                 |300126.8  |0
1958 |Krakow                       |+|Poland                                    |F.H.U. Compower                                                      |speedtest.compower.pl:8080                              |300126.8  |0
25726|Krakow                       |+|Poland                                    |Krakowski Internet                                                   |speedtest.krakowskiinternet.pl:8080                     |300126.8  |0
23123|Kraków                       |+|Poland                                    |T-Mobile Polska S.A.                                                 |kra1.t-mobile.pl:8080                                   |300126.8  |0
16878|Kraków                       |+|Poland                                    |petroinform.net                                                      |speedtest.petroinform.net:8080                          |300126.8  |0
20470|Harbutowice                  |+|Poland                                    |HyperNET sp. z o.o.                                                  |speedtest.hypernet.pl:8080                              |309855.9  |0
2008 |Vinnytsia                    |+|Ukraine                                   |Besthosting                                                          |speedtest.besthosting.ua:8080                           |322135.9  |0
3211 |Vinnytsia                    |+|Ukraine                                   |IP-Connect LLC                                                       |sp1.speedtest.vn.ua:8080                                |322135.9  |0
9758 |Sucha Beskidzka              |+|Poland                                    |SumerNet                                                             |speedtest1.sumernet.pl:8080                             |324094.9  |0
14767|Cluj-Napoca                  |+|Romania                                   |UPC Romania                                                          |ro-cj01a-speedtestnet01.upcnet.ro:8080                  |330694.3  |0
3981 |Cluj-Napoca                  |+|Romania                                   |Orange Romania                                                       |speedtestcj.orangero.net:8080                           |330694.3  |0
10861|Cluj-Napoca                  |+|Romania                                   |HOSTERION SRL                                                        |speed1.hosterion.ro:8080                                |330694.3  |0
14665|Cluj-Napoca                  |+|Romania                                   |Vodafone Romania                                                     |speedtestcluj.vodafone.ro:8080                          |330694.3  |0
16918|Cluj-Napoca                  |+|Romania                                   |Universitatea Tehnica din Cluj Napoca                                |speedtest.utcluj.ro:8080                                |330694.3  |0
3710 |Cluj-Napoca                  |+|Romania                                   |NETVEILLANCE                                                         |speedtest.netveillance.net:8080                         |330694.3  |0
8704 |Rimavska Sobota              |+|Slovakia                                  |Regiotel s.r.o.                                                      |sp1.regiotel.sk:8080                                    |331778.7  |0
3861 |Zhytomyr                     |+|Ukraine                                   |dks.com.ua                                                           |speedtest.dks.com.ua:8080                               |332665.2  |0
15273|Liptovsky Mikulas            |+|Slovakia                                  |StuffNET, s.r.o.                                                     |speedtest.stuffnet.sk:8080                              |332885.4  |0
16745|Bratislava                   |+|Slovakia                                  |flexiNET                                                             |speedtest.flexi.sk:8080                                 |334721.9  |0
23384|Bratislava                   |+|Slovakia                                  |Energotel a.s.                                                       |speedtest.energotel.sk:8080                             |334721.9  |0
17433|Zator                        |+|Poland                                    |Air-Net                                                              |speedtest.air-net.com.pl:8080                           |335263.6  |0
11501|Oradea                       |+|Romania                                   |RCS & RDS                                                            |speedtest-or.rcs-rds.ro:8080                            |336098.6  |0
5184 |Oradea                       |+|Romania                                   |Hextech air conditioning                                             |hextech.ro:8080                                         |336098.6  |0
7547 |Hajnowka                     |+|Poland                                    |TVK Hajnowka s.j.                                                    |ookla1.tvkhajnowka.pl:8080                              |336537.4  |0
8798 |Sulkowice                    |+|Poland                                    |NETUS INTERNET                                                       |speedtest.netusinternet.pl:8080                         |340983.0  |0
14512|Slawkow                      |+|Poland                                    |SPI-NET                                                              |speedtest.spi.net.pl:8080                               |342483.1  |0
1990 |Jaworzno                     |+|Poland                                    |ART-COM                                                              |speedtest-net.artcom.pl:8080                            |349212.9  |0
18975|Kety                         |+|Poland                                    |Beskid Media Sp. z o.o.                                              |speedtest.beskidmedia.pl:8080                           |352328.2  |0
14781|Warszawa                     |+|Poland                                    |Powszechna Agencja Informacyjna S.A.                                 |speedtest.pagi.pl:8080                                  |352376.2  |0
4857 |Myszkow                      |+|Poland                                    |InterSat                                                             |www.inter-sat.pl:8080                                   |352445.4  |0
15940|Wolomin                      |+|Poland                                    |Tonetic Group S.A.                                                   |speedtest.toneticgroup.pl:8080                          |352578.9  |0
5134 |Warsaw                       |+|Poland                                    |NETIA S.A.                                                           |78.10.161.3:8080                                        |352764.1  |0
338  |Warsaw                       |+|Poland                                    |Skynet DC                                                            |speedtest.skynet.net.pl:8080                            |352764.1  |0
18199|Warszawa                     |+|Poland                                    |Vectra S.A                                                           |speedtest-1.vectranet.pl:8080                           |352764.1  |0
7103 |Warsaw                       |+|Poland                                    |ISP Emitel                                                           |speedtest.emitel.pl:8080                                |352764.1  |0
11883|Warszawa                     |+|Poland                                    |home.pl S.A.                                                         |st.home.pl:8080                                         |352764.1  |0
15315|Warsaw                       |+|Poland                                    |T-Mobile Polska S.A.                                                 |waw1.t-mobile.pl:8080                                   |352764.1  |0
21679|Warsaw                       |+|Poland                                    |Atman (ATM S.A.)                                                     |speedtest-ng.atman.pl:8080                              |352764.1  |0
8399 |Warszawa                     |+|Poland                                    |Techgroup Jakub Osuch                                                |speedtest.techgroup.pl:8080                             |352764.1  |0
22917|Warszawa                     |+|Poland                                    |Play                                                                 |speedtest-w5.net.play.pl:8080                           |352764.1  |0
22113|Warsaw                       |+|Poland                                    |i3D.net                                                              |pl.eu.speedtest.i3d.net:8080                            |352764.1  |0
21615|Warsaw                       |+|Poland                                    |JMDI Sp. z o.o.                                                      |speedtest.jmdi.pl:8080                                  |352764.1  |0
4166 |Warsaw                       |+|Poland                                    |Orange Polska S.A.                                                   |war-o1.speedtest.orange.pl:8080                         |352764.1  |0
23695|Warszawa                     |+|Poland                                    |Metro Internet Sp. z o. o.                                           |speedtest.metrointernet.pl:8080                         |352764.1  |0
18580|Żywiec                       |+|Poland                                    |Fibre Tech SA                                                        |speedtest.fibreo.pl:8080                                |353339.9  |0
24579|Ząbki                        |+|Poland                                    |ETHNet                                                               |speedtest.ethnet.com.pl:8080                            |353361.2  |0
5185 |Ruzomberok                   |+|Slovakia                                  |PROFI-NET s.r.o                                                      |srv1.profi-net.sk:8080                                  |353837.6  |0
2612 |Pajeczno                     |+|Poland                                    |Systemy Tele-Informatyczne INGRAM                                    |speedtest1.ingram.com.pl:8080                           |355469.1  |0
12678|Sovata                       |+|Romania                                   |Digicomm                                                             |speedtest.digicomm.ro:8080                              |355615.1  |0
14657|Pruszkow                     |+|Poland                                    |DAWIS IT sp. z o.o.                                                  |speedtest.dawis-it.pl:8080                              |356172.8  |0
23874|Dąbrowa Górnicza             |+|Poland                                    |dg-net.pl                                                            |speedtest-ct.dg-net.pl:8080                             |356335.7  |0
11387|Sosnowiec                    |+|Poland                                    |SMSnet                                                               |speedtest2.smsnet.pl:8080                               |360041.6  |0
